ID,gender,Management,USAcitizen,Married,MonthsInUnion,ContinuingEd,StateOfResidence,Connectivity,FeatureA,FeatureB,FeatureC,FeatureD,FeatureE,FeatureF,DuesFrequency,PaperlessBilling,PaymentMethod,MonthlyDues,TotalDues,LeftUnion
Justin20-18938,Male,0,Yes,Yes,26,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,One year,Yes,Bank transfer (automatic),20.05,505.9,No
Justin21-17693,Male,0,Yes,Yes,34,Yes,IL,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.7,3410,No
Justin22-15338,Female,0,No,No,2,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Month-to-month,No,Mailed check,19.5,31.55,Yes
Justin23-13114,Male,0,Yes,No,3,No,MO,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.15,99.75,Yes
Justin24-18347,Male,1,No,No,1,Yes,MO,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.1,79.1,Yes
Justin25-17899,Female,0,Yes,No,40,Yes,IL,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),78.85,3126.85,No
Justin26-17672,Female,0,Yes,No,72,Yes,IL,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),109.15,7789.6,No
Justin27-16505,Male,0,No,No,2,Yes,MO,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),46.6,87.9,No
Justin28-17236,Male,0,No,No,25,Yes,MO,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),99.3,2513.5,No
Justin29-13294,Female,0,Yes,Yes,59,Yes,IL,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,106.15,6256.2,No
Justin30-18552,Male,0,No,Yes,1,Yes,IL,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,50.05,50.05,No
Justin31-15922,Male,0,Yes,No,70,Yes,IL,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),99.35,6944.5,No
Justin32-18067,Female,0,Yes,No,53,Yes,IL,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),111.8,5809.75,No
Justin33-18804,Female,0,No,No,14,Yes,MO,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,50.45,765.45,No
Justin34-18261,Female,0,Yes,No,7,Yes,MO,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,44.25,313.45,No
Justin35-15323,Male,0,No,No,43,Yes,IL,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,100,4211.55,Yes
Justin36-15530,Female,0,No,No,15,Yes,IL,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Month-to-month,Yes,Credit card (automatic),25.4,399.6,Yes
Justin37-16673,Male,0,No,No,4,Yes,IL,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.65,338.9,Yes
Justin38-17133,Female,0,Yes,Yes,66,Yes,IL,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),109.25,7082.5,No
Justin39-18520,Male,0,No,No,41,Yes,IL,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.7,4346.4,Yes
Justin40-18744,Female,1,Yes,No,55,Yes,MO,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),88.8,4805.3,No
Justin41-12980,Male,0,Yes,Yes,617,Yes,MO,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.65,43591.05,Yes
Justin42-19376,Male,0,Yes,Yes,40,Yes,MO,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,85.05,3355.65,No
Justin43-17702,Male,1,No,No,1,Yes,MO,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,45.2,45.2,No
Justin44-15716,Female,0,Yes,Yes,52,Yes,IL,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),101.25,5301.1,No
Justin45-18640,Male,0,No,No,10,Yes,MO,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.15,735.5,No
Justin46-14154,Female,0,Yes,No,2,Yes,MO,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),70.4,154.8,No
Justin47-15191,Female,0,No,Yes,34,Yes,IL,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),116.15,3946.9,No
Justin48-13035,Male,0,Yes,Yes,9,Yes,IL,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),102.6,897.75,No
Justin49-13578,Male,0,Yes,No,32,Yes,IL,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Electronic check,79.25,2619.15,No
Justin50-17911,Female,0,No,No,4,No,MO,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,33.65,137.85,Yes
Justin51-15464,Male,0,No,No,1,Yes,MO,DSL,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),49,49,No
Justin52-17832,Female,1,Yes,No,59,Yes,IL,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,94.05,5483.9,No
Justin53-15583,Male,0,Yes,No,66,Yes,IL,DSL,Yes,Yes,Yes,No,No,No,Two year,Yes,Credit card (automatic),66.1,4428.45,No
Justin54-16953,Female,0,Yes,No,48,Yes,MO,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,65.65,3094.65,No
Justin55-15418,Female,0,Yes,No,71,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Two year,No,Credit card (automatic),19.1,1372.45,No
Justin56-17983,Female,0,Yes,Yes,28,Yes,IL,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,49.9,1410.25,No
Justin57-13345,Female,0,No,No,28,No,MO,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,29.75,790.7,No
Justin58-13274,Female,1,No,No,64,Yes,MO,DSL,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),70.2,4481,Yes
Justin59-13883,Female,0,Yes,Yes,72,Yes,MO,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),109.5,7854.9,No
Justin60-16557,Female,0,Yes,Yes,34,Yes,MO,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Mailed check,60.8,2042.05,No
Justin61-19965,Male,0,No,No,1,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No
Justin62-19633,Male,0,No,No,5,Yes,MO,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),96.5,492.55,Yes
Justin63-19389,Female,1,Yes,No,65,Yes,IL,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),105.25,6786.4,Yes
Justin64-15525,Female,1,Yes,No,26,Yes,IL,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),98.1,2510.7,No
Justin65-16846,Female,0,No,No,26,Yes,MO,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),95.85,2475.35,No
Justin66-17888,Female,0,No,No,3,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Month-to-month,No,Electronic check,20.2,65.95,No
Justin67-14185,Male,0,Yes,Yes,48,Yes,IL,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),111.8,5443.65,No
Justin68-18709,Male,0,No,No,63,Yes,IL,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Bank transfer (automatic),68.8,4111.35,No
Justin69-14832,Male,0,No,No,61,Yes,IL,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,No,Electronic check,104,6363.45,No
Justin70-13567,Male,0,No,No,17,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Two year,No,Mailed check,19.15,343.45,No
Justin71-14497,Male,0,No,No,17,No,MO,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),25.1,382.8,No
Justin72-18988,Male,0,No,No,3,Yes,MO,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,50.15,160.85,No
Justin73-15601,Female,0,Yes,No,72,Yes,IL,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),103.95,7556.9,No
Justin74-18695,Female,0,Yes,Yes,69,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Two year,No,Bank transfer (automatic),19.7,1396.9,No
Justin75-17051,Male,0,Yes,Yes,49,Yes,MO,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),90.4,4494.65,No
Justin76-18748,Female,0,Yes,No,56,Yes,IL,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),103.2,5744.35,No
Justin77-13304,Male,0,Yes,Yes,8,Yes,IL,DSL,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),76.15,645.8,No
Justin78-18885,Female,0,Yes,No,37,Yes,IL,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),78.95,2839.65,Yes
Justin79-13835,Female,0,Yes,No,19,Yes,IL,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,89.1,1620.8,No
Justin80-13589,Male,0,Yes,Yes,43,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,One year,Yes,Mailed check,19.2,776.25,No
Justin81-15457,Female,1,No,No,1,Yes,IL,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,50.55,50.55,Yes
Justin82-15651,Female,0,No,No,50,Yes,MO,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,100.2,5038.45,No
Justin83-19114,Female,0,Yes,Yes,49,No,MO,DSL,Yes,No,No,Yes,No,No,One year,Yes,Credit card (automatic),35.8,1782,No
Justin84-16274,Male,0,Yes,Yes,62,Yes,IL,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,One year,No,Bank transfer (automatic),24.8,1476.25,No
Justin85-13081,Female,0,Yes,No,72,Yes,IL,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),84.05,6052.25,No
Justin86-17992,Male,0,No,No,5,Yes,IL,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,47.15,223.15,Yes
Justin87-17700,Male,0,Yes,Yes,69,Yes,IL,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),79.2,5420.65,No
Justin88-15936,Female,0,No,No,1,Yes,MO,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.5,70.5,Yes
Justin89-19091,Male,0,No,No,19,Yes,MO,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),65.35,1231.85,No
Justin90-18224,Male,0,Yes,Yes,1,Yes,MO,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,48.75,48.75,No
Justin91-16461,Male,0,Yes,Yes,25,Yes,MO,DSL,No,Yes,Yes,No,No,No,One year,No,Mailed check,53.65,1355.45,No
Justin92-19527,Male,0,No,No,1,Yes,MO,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,55,55,Yes
Justin93-13941,Male,0,No,No,19,Yes,MO,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),61.55,1093.2,No
Justin94-15054,Male,0,Yes,Yes,10,Yes,IL,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Month-to-month,Yes,Mailed check,24.4,253.9,No
Justin95-17093,Female,0,Yes,No,21,Yes,MO,Fiber optic,No,No,Yes,Yes,No,No,One year,No,Electronic check,79.2,1742.45,No
Justin96-14527,Female,0,No,No,29,Yes,IL,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.2,1993.25,No
Justin97-15508,Female,1,Yes,No,54,Yes,IL,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),115.6,6431.05,No
Justin98-13905,Female,0,Yes,No,71,No,MO,DSL,No,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,47.05,3263.6,No
Justin99-15131,Male,0,Yes,No,34,Yes,IL,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,100.85,3527.3,No
Justin100-13890,Male,0,No,No,18,No,MO,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,25.15,476.8,No
Justin101-14240,Male,0,No,No,22,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,One year,No,Mailed check,20.3,475.1,No
Justin102-18501,Female,0,Yes,Yes,51,Yes,MO,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),79.15,4018.55,No
Justin103-18217,Male,1,Yes,No,60,Yes,IL,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,104.35,6339.45,No
Justin104-15251,Male,0,No,No,35,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,One year,No,Bank transfer (automatic),20.6,754,No
Justin105-18539,Female,0,No,No,60,Yes,MO,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,99.65,5941.05,No
Justin106-13693,Female,1,No,No,26,Yes,IL,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,95,2497.2,Yes
Justin107-13617,Male,0,No,Yes,1,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Month-to-month,No,Mailed check,19.55,19.55,No
Justin108-14383,Male,0,No,No,1,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Month-to-month,Yes,Bank transfer (automatic),20.2,20.2,Yes
Justin109-14412,Female,0,No,No,27,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,One year,No,Mailed check,19.15,501.35,No
Justin110-16533,Male,0,No,No,4,Yes,MO,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.9,199.75,No
Justin111-17980,Female,0,No,No,1,Yes,MO,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,45.3,45.3,Yes
Justin112-12997,Male,0,No,No,3,Yes,MO,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,49.9,130.1,Yes
Justin113-14347,Female,0,Yes,No,42,Yes,IL,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,84.3,3588.4,Yes
Justin114-13608,Male,0,Yes,Yes,70,Yes,MO,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,106.15,7475.1,No
Justin115-13364,Female,0,Yes,Yes,10,Yes,IL,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),102.1,1068.85,Yes
Justin116-13169,Male,0,Yes,Yes,8,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Two year,No,Credit card (automatic),19.6,125,No
Justin117-13469,Male,1,No,No,2,Yes,IL,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.85,156.4,Yes
Justin118-15612,Male,0,Yes,Yes,55,Yes,MO,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Bank transfer (automatic),57.55,3046.4,Yes
Justin119-14491,Female,0,No,No,28,Yes,MO,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Electronic check,59.9,1654.7,No
Justin120-14611,Male,0,No,No,4,No,MO,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,30.5,118.4,No
Justin121-13919,Female,0,Yes,No,25,Yes,IL,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,54.1,1373,No
Justin122-19181,Female,0,Yes,Yes,55,Yes,MO,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),103.7,5656.75,No
Justin123-15271,Male,0,Yes,No,60,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Two year,Yes,Bank transfer (automatic),20.5,1198.8,No
Justin124-18052,Male,0,Yes,Yes,55,Yes,IL,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),90.4,5099.15,No
Justin125-19501,Female,0,Yes,No,70,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Two year,No,Bank transfer (automatic),19.8,1397.65,No
Justin126-15968,Female,0,No,Yes,5,Yes,MO,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,51,286.8,No
Justin127-17563,Female,0,No,Yes,14,Yes,MO,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),59.8,824.85,No
Justin128-17477,Male,1,Yes,No,36,Yes,IL,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),85.25,3132.75,Yes
Justin129-14572,Male,0,Yes,No,51,Yes,IL,DSL,No,No,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),75.2,3901.25,No
Justin130-13966,Male,1,Yes,No,68,Yes,IL,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.3,7299.65,Yes
Justin131-16191,Male,0,Yes,No,24,Yes,IL,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.65,2542.45,Yes
Justin132-13976,Female,0,No,No,20,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Month-to-month,Yes,Credit card (automatic),18.9,347.65,No
Justin133-18177,Male,1,Yes,No,32,Yes,IL,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,85.3,2661.1,Yes
Justin134-15095,Female,0,No,No,5,Yes,IL,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.8,455.5,Yes
Justin135-17212,Male,0,No,Yes,27,Yes,MO,DSL,Yes,Yes,No,No,No,No,One year,No,Mailed check,56.2,1567.55,No
Justin136-16940,Female,0,No,Yes,17,Yes,IL,DSL,No,No,Yes,No,No,No,One year,Yes,Mailed check,55.85,937.5,Yes
Justin137-17450,Male,1,No,No,8,Yes,MO,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),69.95,562.7,No
Justin138-19024,Female,0,Yes,Yes,59,Yes,MO,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),75.95,4542.35,No
Justin139-19429,Female,0,No,No,11,No,MO,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,Credit card (automatic),40.4,422.6,No
Justin140-18245,Female,1,Yes,No,72,Yes,IL,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),96.6,6827.5,No
Justin141-18253,Female,0,Yes,Yes,56,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Two year,Yes,Credit card (automatic),19.8,1119.9,No
Justin142-15158,Female,1,No,No,43,No,MO,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),33.45,1500.25,No
Justin143-18342,Female,0,No,No,53,Yes,IL,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,90.8,4921.2,No
Justin144-17029,Female,0,Yes,Yes,65,Yes,IL,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Electronic check,109.3,7337.55,No
Justin145-19437,Male,0,Yes,No,3,Yes,IL,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Month-to-month,Yes,Mailed check,23.6,89.05,No
Justin146-17243,Male,0,Yes,No,46,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Month-to-month,No,Electronic check,19.6,851.2,No
Justin147-14424,Female,0,No,No,41,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Month-to-month,No,Electronic check,20.45,775.6,No
Justin148-13028,Male,0,No,No,4,Yes,IL,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.35,265.35,Yes
Justin149-13969,Male,0,No,No,4,Yes,MO,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,94.9,360.55,No
Justin150-14323,Male,0,No,No,3,Yes,MO,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,69.6,207.4,No
Justin151-16415,Male,0,Yes,Yes,40,No,MO,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,Mailed check,60.3,2448.5,No
Justin152-18608,Female,0,Yes,Yes,72,Yes,MO,DSL,Yes,Yes,Yes,No,No,Yes,Two year,No,Credit card (automatic),68.75,4888.2,No
Justin153-16801,Female,0,Yes,Yes,22,Yes,MO,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),69.5,1498.2,Yes
Justin154-15344,Female,0,Yes,Yes,42,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,One year,Yes,Electronic check,19.05,761.85,No
Justin155-18038,Female,0,Yes,Yes,33,Yes,IL,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),88.6,2888.7,No
Justin156-18928,Female,0,No,No,2,Yes,MO,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),69.75,144.55,Yes
Justin157-19532,Male,1,Yes,No,64,Yes,IL,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Electronic check,102.1,6538.45,No
Justin158-15331,Female,0,Yes,No,20,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Month-to-month,No,Bank transfer (automatic),19.25,375.25,No
Justin159-19784,Male,1,Yes,No,23,Yes,IL,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,86.8,1975.85,No
Justin160-13818,Female,1,No,No,66,Yes,IL,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),102.4,6471.85,No
Justin161-18728,Male,0,Yes,Yes,63,Yes,IL,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Two year,No,Credit card (automatic),24.65,1574.5,No
Justin162-15398,Male,0,Yes,Yes,56,Yes,IL,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,115.85,6567.9,No
Justin163-17875,Male,0,No,No,31,Yes,IL,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,80.45,2429.1,No
Justin164-14503,Male,0,No,No,11,Yes,MO,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,73.85,926.25,Yes
Justin165-13014,Male,0,No,Yes,31,No,MO,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),25,789.2,No
Justin166-19461,Female,0,Yes,Yes,33,Yes,MO,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Mailed check,58.45,1955.4,No
Justin167-14346,Female,0,No,No,1,Yes,MO,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,48.6,48.6,No
Justin168-14081,Male,0,No,No,4,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Month-to-month,Yes,Mailed check,19.95,59.25,No
Justin169-14086,Female,1,No,No,47,Yes,IL,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),85.2,3969.35,Yes
Justin170-14202,Female,0,Yes,Yes,47,No,MO,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),60,2768.65,No
Justin171-13900,Male,0,Yes,Yes,21,Yes,IL,DSL,Yes,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),75.9,1549.75,No
Justin172-13354,Male,0,Yes,No,61,Yes,IL,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),96.5,5673.7,No
Justin173-16285,Male,1,Yes,No,46,Yes,MO,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.4,3605.2,Yes
